ticker,name,date,open,high,low,close,volume
VTI,Vanguard Total Stock Market ETF,2024-02-23,252.46,252.92,251.53,252.0,2856000
VTI,Vanguard Total Stock Market ETF,2024-02-22,249.96,252.21,249.61,251.83,3873000
VTI,Vanguard Total Stock Market ETF,2024-02-21,246.05,246.99,245.13,246.95,2174914
VTI,Vanguard Total Stock Market ETF,2024-02-20,247.55,247.75,245.76,246.9,3445129
VTI,Vanguard Total Stock Market ETF,2024-02-16,249.61,250.23,248.1,248.46,2909166
VTI,Vanguard Total Stock Market ETF,2024-02-15,248.34,249.94,248.02,249.77,3181946
VTI,Vanguard Total Stock Market ETF,2024-02-14,246.87,248.03,245.61,247.86,2606900
VTI,Vanguard Total Stock Market ETF,2024-02-13,245.61,246.32,243.35,245.15,5832619
VTI,Vanguard Total Stock Market ETF,2024-02-12,249.04,250.34,248.72,249.14,2769737
VTI,Vanguard Total Stock Market ETF,2024-02-09,247.75,249.15,247.51,248.9,2367717
VTI,Vanguard Total Stock Market ETF,2024-02-08,246.81,247.47,246.51,247.39,2668200
VTI,Vanguard Total Stock Market ETF,2024-02-07,246.0,247.09,245.39,246.78,2305718
VTI,Vanguard Total Stock Market ETF,2024-02-06,244.48,245.02,243.9,244.85,2568422
VTI,Vanguard Total Stock Market ETF,2024-02-05,244.83,244.99,242.74,244.02,3324800
VTI,Vanguard Total Stock Market ETF,2024-02-02,242.96,246.01,242.69,245.18,3876617
VTI,Vanguard Total Stock Market ETF,2024-02-01,240.9,243.1,240.04,243.1,3986825
VTI,Vanguard Total Stock Market ETF,2024-01-31,242.84,243.24,239.86,239.87,3884500
VTI,Vanguard Total Stock Market ETF,2024-01-30,244.07,244.33,243.57,243.98,3098900
VTI,Vanguard Total Stock Market ETF,2024-01-29,242.34,244.34,242.13,244.32,3463400
VTI,Vanguard Total Stock Market ETF,2024-01-26,242.31,243.02,241.73,242.12,2858242
VTI,Vanguard Total Stock Market ETF,2024-01-25,242.19,242.56,241.07,242.32,2993900
VTI,Vanguard Total Stock Market ETF,2024-01-24,242.66,242.87,240.85,240.98,3003000
VTI,Vanguard Total Stock Market ETF,2024-01-23,241.02,241.17,240.06,241.02,3015300
VTI,Vanguard Total Stock Market ETF,2024-01-22,240.54,241.4,240.05,240.58,3952716
VTI,Vanguard Total Stock Market ETF,2024-01-19,237.38,239.74,236.76,239.54,3850769
VTI,Vanguard Total Stock Market ETF,2024-01-18,235.64,236.96,234.62,236.66,3509912
VTI,Vanguard Total Stock Market ETF,2024-01-17,234.41,234.87,233.43,234.59,3336627
VTI,Vanguard Total Stock Market ETF,2024-01-16,236.29,236.91,235.1,236.01,3646700
VTI,Vanguard Total Stock Market ETF,2024-01-12,237.98,238.37,236.42,237.11,3053406
VTI,Vanguard Total Stock Market ETF,2024-01-11,237.52,237.86,234.92,237.07,3375600
VTI,Vanguard Total Stock Market ETF,2024-01-10,236.12,237.66,235.79,237.23,3343400
VTI,Vanguard Total Stock Market ETF,2024-01-09,235.15,236.56,234.74,236.01,4524800
VTI,Vanguard Total Stock Market ETF,2024-01-08,233.27,236.56,233.26,236.45,4156600
VTI,Vanguard Total Stock Market ETF,2024-01-05,232.7,234.39,232.4,233.12,3305525
VTI,Vanguard Total Stock Market ETF,2024-01-04,233.26,234.55,232.66,232.77,3681900
VTI,Vanguard Total Stock Market ETF,2024-01-03,234.53,234.74,233.11,233.37,3925518
VTI,Vanguard Total Stock Market ETF,2024-01-02,235.65,236.51,234.77,235.63,4847610
VTI,Vanguard Total Stock Market ETF,2023-12-29,238.14,238.47,236.48,237.22,4188762
VTI,Vanguard Total Stock Market ETF,2023-12-28,238.25,238.74,238.13,238.13,4099416
VTI,Vanguard Total Stock Market ETF,2023-12-27,238.0,238.44,237.47,238.25,5103732
VTI,Vanguard Total Stock Market ETF,2023-12-26,236.98,238.31,236.86,237.8,3829400
VTI,Vanguard Total Stock Market ETF,2023-12-22,236.59,237.52,235.64,236.63,3662383
VTI,Vanguard Total Stock Market ETF,2023-12-21,235.08,236.17,234.06,236.09,4427026
VTI,Vanguard Total Stock Market ETF,2023-12-20,237.74,238.69,234.44,234.51,5149738
VTI,Vanguard Total Stock Market ETF,2023-12-19,236.72,238.1,236.72,238.06,3731700
VTI,Vanguard Total Stock Market ETF,2023-12-18,235.86,236.82,235.82,236.33,3855100
VTI,Vanguard Total Stock Market ETF,2023-12-15,234.79,235.94,234.63,235.31,4298616
VTI,Vanguard Total Stock Market ETF,2023-12-14,235.66,236.58,234.19,235.63,5014530
VTI,Vanguard Total Stock Market ETF,2023-12-13,230.77,234.43,230.55,234.24,4231100
VTI,Vanguard Total Stock Market ETF,2023-12-12,229.59,230.78,228.96,230.66,3214921
VTI,Vanguard Total Stock Market ETF,2023-12-11,228.69,229.83,228.51,229.79,3076600
VTI,Vanguard Total Stock Market ETF,2023-12-08,227.36,229.09,227.27,228.85,2741500
VTI,Vanguard Total Stock Market ETF,2023-12-07,226.99,228.05,226.71,227.76,2724304
VTI,Vanguard Total Stock Market ETF,2023-12-06,227.89,228.16,225.88,225.95,3172934
VTI,Vanguard Total Stock Market ETF,2023-12-05,226.58,227.45,226.21,226.91,3019047
VTI,Vanguard Total Stock Market ETF,2023-12-04,226.58,227.43,226.08,227.35,3837805
VTI,Vanguard Total Stock Market ETF,2023-12-01,225.99,228.33,225.59,228.17,4078686
VTI,Vanguard Total Stock Market ETF,2023-11-30,225.73,226.39,224.82,226.26,3148000
VTI,Vanguard Total Stock Market ETF,2023-11-29,226.38,227.19,225.11,225.33,2653700
VTI,Vanguard Total Stock Market ETF,2023-11-28,224.77,225.91,224.45,225.23,2761900
VTI,Vanguard Total Stock Market ETF,2023-11-27,225.12,225.53,224.77,225.09,2410000
VTI,Vanguard Total Stock Market ETF,2023-11-24,225.04,225.44,225.01,225.38,1219500
VTI,Vanguard Total Stock Market ETF,2023-11-22,224.85,225.76,224.53,225.14,2880548
VTI,Vanguard Total Stock Market ETF,2023-11-21,224.25,224.43,223.61,224.18,2513822
VTI,Vanguard Total Stock Market ETF,2023-11-20,223.11,225.25,223.0,224.79,2876890
VTI,Vanguard Total Stock Market ETF,2023-11-17,222.87,223.44,222.42,223.11,3124318
